postcode_district,region,practice_count,total_eligible,total_vaccinated,coverage
CM15,NHS Mid and South Essex ICB,5,410,361,88.0
DA11,NHS Kent and Medway ICB,4,739,650,88.0
EN1,NHS North Central London ICB,1,92,81,88.0
KT2,NHS South West London ICB,5,619,545,88.0
ME7,NHS Kent and Medway ICB,4,706,621,88.0
PL32,NHS Cornwall and the Isles of Scilly ICB,1,50,44,88.0
SM6,NHS South West London ICB,6,634,558,88.0
ST6,NHS Staffordshire and Stoke-on-Trent ICB,9,961,846,88.0
TN33,NHS Sussex ICB,2,92,81,88.0
WD18,NHS Hertfordshire and West Essex ICB,2,576,507,88.0
AL10,NHS Hertfordshire and West Essex ICB,3,371,327,88.1
CR6,NHS Surrey Heartlands ICB,2,310,273,88.1
DA2,NHS Kent and Medway ICB,1,573,505,88.1
E11,NHS North East London ICB,11,876,772,88.1
SE24,NHS South East London ICB,4,327,288,88.1
SL3,NHS Frimley ICB,3,487,429,88.1
SS13,NHS Mid and South Essex ICB,7,472,416,88.1
TN35,NHS Sussex ICB,1,134,118,88.1
B68,NHS Black Country ICB,6,381,336,88.2
B70,NHS Black Country ICB,10,671,592,88.2
BL9,NHS Greater Manchester ICB,9,633,558,88.2
DA3,NHS Kent and Medway ICB,1,127,112,88.2
DN4,NHS South Yorkshire ICB,3,321,283,88.2
L22,NHS Cheshire and Merseyside ICB,3,169,149,88.2
LS4,NHS West Yorkshire ICB,1,68,60,88.2
MK42,"NHS Bedfordshire, Luton and Milton Keynes ICB",3,642,566,88.2
OL9,NHS Greater Manchester ICB,6,650,573,88.2
OX33,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",1,93,82,88.2
PL29,NHS Cornwall and the Isles of Scilly ICB,1,51,45,88.2
TQ5,NHS Devon ICB,1,85,75,88.2
TR15,NHS Cornwall and the Isles of Scilly ICB,2,458,404,88.2
TW9,NHS South West London ICB,4,245,216,88.2
WS1,NHS Black Country ICB,9,754,665,88.2
B65,NHS Black Country ICB,1,419,370,88.3
CR5,NHS South West London ICB,2,223,197,88.3
DY4,NHS Black Country ICB,5,556,491,88.3
L19,NHS Cheshire and Merseyside ICB,4,240,212,88.3
M45,NHS Greater Manchester ICB,2,120,106,88.3
NG18,NHS Nottingham and Nottinghamshire ICB,6,571,504,88.3
NR16,NHS Norfolk and Waveney ICB,1,60,53,88.3
TN38,NHS Sussex ICB,3,103,91,88.3
TR4,NHS Cornwall and the Isles of Scilly ICB,1,60,53,88.3
YO15,NHS Humber and North Yorkshire ICB,1,77,68,88.3
BN20,NHS Sussex ICB,1,199,176,88.4
CT9,NHS Kent and Medway ICB,3,559,494,88.4
NR10,NHS Norfolk and Waveney ICB,1,43,38,88.4
RH3,NHS Surrey Heartlands ICB,1,86,76,88.4
TR17,NHS Cornwall and the Isles of Scilly ICB,1,43,38,88.4
WV1,NHS Black Country ICB,3,319,282,88.4
BD2,NHS West Yorkshire ICB,5,427,378,88.5
CM4,NHS Mid and South Essex ICB,2,113,100,88.5
CT21,NHS Kent and Medway ICB,2,96,85,88.5
E18,NHS North East London ICB,5,382,338,88.5
KT20,NHS Surrey Heartlands ICB,2,174,154,88.5
NE47,NHS North East and North Cumbria ICB,1,26,23,88.5
NG4,NHS Nottingham and Nottinghamshire ICB,3,410,363,88.5
NR27,NHS Norfolk and Waveney ICB,1,52,46,88.5
NW3,NHS North Central London ICB,6,515,456,88.5
TN3,Multiple regions,2,52,46,88.5
WS10,NHS Black Country ICB,11,713,631,88.5
BR7,NHS South East London ICB,1,220,195,88.6
CV2,NHS Coventry and Warwickshire ICB,9,954,845,88.6
GL14,NHS Gloucestershire ICB,2,149,132,88.6
IP1,NHS Suffolk and North East Essex ICB,4,800,709,88.6
